Id;Référence;Boîtier;Quantité;Désignation;Fournisseur et réf
1;R6,R10,R7,R9;R_0805_2012Metric;4;470k;
3;C3;C_0805_2012Metric;1;470nf;
4;U2;SSOP-8_2.95x2.8mm_P0.65mm;1;74LVC2G00;
5;R8;R_0805_2012Metric;1;47k;
7;R2,R1;R_0805_2012Metric;2;330;
8;R4,R3;R_0805_2012Metric;2;820;
9;C2;C_0805_2012Metric;1;10nF;
10;U4;TSSOP-14_4.4x5mm_P0.65mm;1;74LS125;
11;U3;SSOP-8_2.95x2.8mm_P0.65mm;1;74LVC2G32;
12;U1;TSSOP-8_4.4x3mm_P0.65mm;1;NE555D;
13;C4,C5,C1;C_0805_2012Metric;3;100nF;
14;R5;R_0805_2012Metric;1;10k;
15;VR1;F-2116;1;F-2116;
17;RV1,RV2;Potentiometer_ACP_CA9-V10_Vertical_Hole;2;1k;
18;SW6,SW5;OS203011MS1QP1;2;SW_DP3T;
19;J1;DB9;1;DB9_Female;
20;RV5;Potentiometer_ACP_CA9-V10_Vertical_Hole;1;470k;
